match_id,date,season_id,home,away,home_goals,away_goals,home_xg,away_xg
sr:sport_event:48855211,2025-09-04T13:00:00+00:00,sr:season:112442,Chad,Ghana,1,1,0.0,0.0
sr:sport_event:48855217,2025-03-22T19:00:00+00:00,sr:season:112442,Sudan,Senegal,0,0,0.0,0.0
sr:sport_event:48855219,2025-03-25T21:00:00+00:00,sr:season:112442,Mauritania,Congo DR,0,2,0.0,0.0
sr:sport_event:48855221,2025-03-25T21:00:00+00:00,sr:season:112442,Senegal,Togo,2,0,0.0,0.0
sr:sport_event:48855227,2025-09-09T16:00:00+00:00,sr:season:112442,Burkina Faso,Egypt,0,0,0.0,0.0
sr:sport_event:48855313,2025-09-09T16:00:00+00:00,sr:season:112442,Congo DR,Senegal,2,3,0.0,0.0
sr:sport_event:48855321,2024-06-07T19:00:00+00:00,sr:season:112442,Nigeria,South Africa,1,1,0.0,0.0
sr:sport_event:48855325,2025-09-09T16:00:00+00:00,sr:season:112442,South Africa,Nigeria,1,1,0.0,0.0
sr:sport_event:48855333,2024-06-11T16:00:00+00:00,sr:season:112442,South Africa,Zimbabwe,3,1,0.0,0.0
sr:sport_event:48855347,2025-09-09T16:00:00+00:00,sr:season:112442,Cape Verde,Cameroon,1,0,0.0,0.0
sr:sport_event:48855375,2025-03-21T16:00:00+00:00,sr:season:112442,South Africa,Lesotho,2,0,0.0,0.0
sr:sport_event:48855385,2025-03-25T16:00:00+00:00,sr:season:112442,Benin,South Africa,0,2,0.0,0.0
sr:sport_event:48855415,2024-06-08T13:00:00+00:00,sr:season:112442,Cameroon,Cape Verde,4,1,0.0,0.0
sr:sport_event:48855419,2025-09-08T13:00:00+00:00,sr:season:112442,Zambia,Morocco,0,2,0.0,0.0
sr:sport_event:48855421,2024-06-11T16:00:00+00:00,sr:season:112442,Cape Verde,Libya,1,0,0.0,0.0
sr:sport_event:48855429,2025-09-09T19:00:00+00:00,sr:season:112442,Gabon,Ivory Coast,0,0,0.0,0.0
sr:sport_event:48855439,2025-03-20T16:00:00+00:00,sr:season:112442,Cape Verde,Mauritius,1,0,0.0,0.0
sr:sport_event:48855441,2025-09-08T16:00:00+00:00,sr:season:112442,Guinea,Algeria,0,0,0.0,0.0
sr:sport_event:48855451,2025-03-25T16:00:00+00:00,sr:season:112442,Angola,Cape Verde,1,2,0.0,0.0
sr:sport_event:48855453,2025-09-08T13:00:00+00:00,sr:season:112442,Equatorial Guinea,Tunisia,0,1,0.0,0.0
sr:sport_event:48855469,2025-09-08T19:00:00+00:00,sr:season:112442,Ghana,Mali,1,0,0.0,0.0
sr:sport_event:48855481,2025-10-08T16:00:00+00:00,sr:season:112442,Djibouti,Egypt,0,3,0.0,0.0
sr:sport_event:48855491,2025-10-10T13:00:00+00:00,sr:season:112442,South Sudan,Senegal,0,5,0.0,0.0
sr:sport_event:48855493,2025-10-10T13:00:00+00:00,sr:season:112442,Togo,Congo DR,0,1,0.0,0.0
sr:sport_event:48855499,2025-10-10T16:00:00+00:00,sr:season:112442,Zimbabwe,South Africa,0,0,0.0,0.0
sr:sport_event:48855505,2025-10-08T13:00:00+00:00,sr:season:112442,Libya,Cape Verde,3,3,0.0,0.0
sr:sport_event:48855515,2025-10-10T13:00:00+00:00,sr:season:112442,Seychelles,Ivory Coast,0,7,0.0,0.0
sr:sport_event:48855529,2025-10-09T16:00:00+00:00,sr:season:112442,Somalia,Algeria,0,3,0.0,0.0
sr:sport_event:48855535,2025-10-10T16:00:00+00:00,sr:season:112442,Sao Tome and Principe,Tunisia,0,6,0.0,0.0
sr:sport_event:48855545,2025-10-08T16:00:00+00:00,sr:season:112442,Central African Republic,Ghana,0,5,0.0,0.0
sr:sport_event:48855557,2025-10-12T19:00:00+00:00,sr:season:112442,Egypt,Guinea-Bissau,1,0,0.0,0.0
sr:sport_event:48855561,2025-10-14T19:00:00+00:00,sr:season:112442,Congo DR,Sudan,1,0,0.0,0.0
sr:sport_event:48855567,2025-10-14T16:00:00+00:00,sr:season:112442,South Africa,Rwanda,3,0,0.0,0.0
sr:sport_event:48855575,2025-10-13T16:00:00+00:00,sr:season:112442,Cape Verde,Eswatini,3,0,0.0,0.0
sr:sport_event:48855585,2025-10-14T19:00:00+00:00,sr:season:112442,Morocco,Congo Republic,1,0,0.0,0.0
sr:sport_event:48855593,2025-10-14T19:00:00+00:00,sr:season:112442,Ivory Coast,Kenya,3,0,0.0,0.0
sr:sport_event:48855595,2024-06-07T19:00:00+00:00,sr:season:112442,Morocco,Zambia,2,1,0.0,0.0
sr:sport_event:48855603,2025-10-14T16:00:00+00:00,sr:season:112442,Algeria,Uganda,2,1,0.0,0.0
